_time,event.action,event.category{},event.code,event.created,event.provider,host,host.architecture,host.hostname,host.name,index,process.args{},process.command_line,process.entity_id,process.executable,process.hash.md5,process.hash.sha1,process.hash.sha256,process.name,process.parent.args{},process.parent.command_line,process.parent.entity_id,process.parent.executable,process.parent.name,process.parent.pid,process.pe.company,process.pe.description,process.pe.file_version,process.pe.imphash,process.pe.original_file_name,process.pe.product,process.pid,process.thread.id,process.working_directory,rule.name,user.domain,user.id,user.name,winlog.event_data.LogonId
2022-02-19T21:27:55.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:27:53.917Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\NOTEPAD.EXE
C:\Users\brent.socium\Desktop\computers.txt","""C:\Windows\system32\NOTEPAD.EXE"" C:\Users\brent.socium\Desktop\computers.txt",{B59E2A9A-60D7-6211-9C06-000000001202},C:\Windows\System32\notepad.exe,ba78fcf8ca9d806c6c047357e31748de,19c72327accc2c12fcbce3d0caa8f7a7e5bcd676,34a07759492e31aec2a009505fe8dfb50242375c4308ad4657b2872f4f75a077,notepad.exe,C:\Windows\Explorer.EXE,C:\Windows\Explorer.EXE,{B59E2A9A-4EF6-6211-6B01-000000001202},C:\Windows\explorer.exe,explorer.exe,5092,Microsoft Corporation,Notepad,10.0.14393.4169 (rs1_release.210107-1130),968239be2020f1c0daffdcdbd49e9c82,NOTEPAD.EXE,Microsoft® Windows® Operating System,8540,,C:\Users\brent.socium\Desktop\,"technique_id=T1204,technique_name=User Execution",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6082d1
2022-02-19T21:27:28.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:27:26.875Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\NOTEPAD.EXE
C:\Users\brent.socium\computers.txt","""C:\Windows\system32\NOTEPAD.EXE"" C:\Users\brent.socium\computers.txt",{B59E2A9A-60BC-6211-9B06-000000001202},C:\Windows\System32\notepad.exe,ba78fcf8ca9d806c6c047357e31748de,19c72327accc2c12fcbce3d0caa8f7a7e5bcd676,34a07759492e31aec2a009505fe8dfb50242375c4308ad4657b2872f4f75a077,notepad.exe,C:\Windows\Explorer.EXE,C:\Windows\Explorer.EXE,{B59E2A9A-4EF6-6211-6B01-000000001202},C:\Windows\explorer.exe,explorer.exe,5092,Microsoft Corporation,Notepad,10.0.14393.4169 (rs1_release.210107-1130),968239be2020f1c0daffdcdbd49e9c82,NOTEPAD.EXE,Microsoft® Windows® Operating System,5692,,C:\Users\brent.socium\,"technique_id=T1204,technique_name=User Execution",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6082d1
2022-02-19T21:18:30.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:18:28.938Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\whoami.exe
/user","""C:\Windows\system32\whoami.exe"" /user",{B59E2A9A-5EA4-6211-9106-000000001202},C:\Windows\System32\whoami.exe,aa1e17ea3db5cd9d8bc061caec74c6e8,9746e91bfc629d3a2e1fe6289b549c0452702004,8ecffcce38d4ee87abaee6cbe843d94d4f8fb98fab3c356c7f6b70e60b10f88a,whoami.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",{B59E2A9A-53C0-6211-1406-000000001202},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,8852,Microsoft Corporation,whoami - displays logged on user information,10.0.14393.0 (rs1_release.160715-1616),e24e330fa9663ce77f2031cacaeb3df9,whoami.exe,Microsoft® Windows® Operating System,8320,,C:\Users\brent.socium\Desktop\,"technique_id=T1033,technique_name=System Owner/User Discovery",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6060a6
2022-02-19T21:18:01.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:18:00.682Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\whoami.exe
/user","""C:\Windows\system32\whoami.exe"" /user",{B59E2A9A-5E87-6211-8E06-000000001202},C:\Windows\System32\whoami.exe,aa1e17ea3db5cd9d8bc061caec74c6e8,9746e91bfc629d3a2e1fe6289b549c0452702004,8ecffcce38d4ee87abaee6cbe843d94d4f8fb98fab3c356c7f6b70e60b10f88a,whoami.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",{B59E2A9A-53C0-6211-1406-000000001202},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,8852,Microsoft Corporation,whoami - displays logged on user information,10.0.14393.0 (rs1_release.160715-1616),e24e330fa9663ce77f2031cacaeb3df9,whoami.exe,Microsoft® Windows® Operating System,4712,,C:\Users\brent.socium\Desktop\,"technique_id=T1033,technique_name=System Owner/User Discovery",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6060a6
2022-02-19T21:17:49.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:17:48.479Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\whoami.exe
/user","""C:\Windows\system32\whoami.exe"" /user",{B59E2A9A-5E7A-6211-8A06-000000001202},C:\Windows\System32\whoami.exe,aa1e17ea3db5cd9d8bc061caec74c6e8,9746e91bfc629d3a2e1fe6289b549c0452702004,8ecffcce38d4ee87abaee6cbe843d94d4f8fb98fab3c356c7f6b70e60b10f88a,whoami.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",{B59E2A9A-53C0-6211-1406-000000001202},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,8852,Microsoft Corporation,whoami - displays logged on user information,10.0.14393.0 (rs1_release.160715-1616),e24e330fa9663ce77f2031cacaeb3df9,whoami.exe,Microsoft® Windows® Operating System,8864,,C:\Users\brent.socium\Desktop\,"technique_id=T1033,technique_name=System Owner/User Discovery",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6060a6
2022-02-19T21:12:32.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:12:31.716Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\whoami.exe
/user","""C:\Windows\system32\whoami.exe"" /user",{B59E2A9A-5D3D-6211-7F06-000000001202},C:\Windows\System32\whoami.exe,aa1e17ea3db5cd9d8bc061caec74c6e8,9746e91bfc629d3a2e1fe6289b549c0452702004,8ecffcce38d4ee87abaee6cbe843d94d4f8fb98fab3c356c7f6b70e60b10f88a,whoami.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",{B59E2A9A-53C0-6211-1406-000000001202},C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,8852,Microsoft Corporation,whoami - displays logged on user information,10.0.14393.0 (rs1_release.160715-1616),e24e330fa9663ce77f2031cacaeb3df9,whoami.exe,Microsoft® Windows® Operating System,8760,,C:\Users\brent.socium\,"technique_id=T1033,technique_name=System Owner/User Discovery",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6060a6
2022-02-19T21:05:13.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:05:13.158Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\NOTEPAD.EXE
C:\Users\brent.socium\3.txt","""C:\Windows\system32\NOTEPAD.EXE"" C:\Users\brent.socium\3.txt",{B59E2A9A-5B87-6211-7D06-000000001202},C:\Windows\System32\notepad.exe,ba78fcf8ca9d806c6c047357e31748de,19c72327accc2c12fcbce3d0caa8f7a7e5bcd676,34a07759492e31aec2a009505fe8dfb50242375c4308ad4657b2872f4f75a077,notepad.exe,C:\Windows\Explorer.EXE,C:\Windows\Explorer.EXE,{B59E2A9A-4EF6-6211-6B01-000000001202},C:\Windows\explorer.exe,explorer.exe,5092,Microsoft Corporation,Notepad,10.0.14393.4169 (rs1_release.210107-1130),968239be2020f1c0daffdcdbd49e9c82,NOTEPAD.EXE,Microsoft® Windows® Operating System,5612,,C:\Users\brent.socium\,"technique_id=T1204,technique_name=User Execution",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6082d1
2022-02-19T21:04:49.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:04:48.055Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\NOTEPAD.EXE
C:\Users\brent.socium\2.txt","""C:\Windows\system32\NOTEPAD.EXE"" C:\Users\brent.socium\2.txt",{B59E2A9A-5B6E-6211-7C06-000000001202},C:\Windows\System32\notepad.exe,ba78fcf8ca9d806c6c047357e31748de,19c72327accc2c12fcbce3d0caa8f7a7e5bcd676,34a07759492e31aec2a009505fe8dfb50242375c4308ad4657b2872f4f75a077,notepad.exe,C:\Windows\Explorer.EXE,C:\Windows\Explorer.EXE,{B59E2A9A-4EF6-6211-6B01-000000001202},C:\Windows\explorer.exe,explorer.exe,5092,Microsoft Corporation,Notepad,10.0.14393.4169 (rs1_release.210107-1130),968239be2020f1c0daffdcdbd49e9c82,NOTEPAD.EXE,Microsoft® Windows® Operating System,5820,,C:\Users\brent.socium\,"technique_id=T1204,technique_name=User Execution",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6082d1
2022-02-19T21:04:27.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:04:26.025Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\NOTEPAD.EXE
C:\Users\brent.socium\1.txt","""C:\Windows\system32\NOTEPAD.EXE"" C:\Users\brent.socium\1.txt",{B59E2A9A-5B58-6211-7B06-000000001202},C:\Windows\System32\notepad.exe,ba78fcf8ca9d806c6c047357e31748de,19c72327accc2c12fcbce3d0caa8f7a7e5bcd676,34a07759492e31aec2a009505fe8dfb50242375c4308ad4657b2872f4f75a077,notepad.exe,C:\Windows\Explorer.EXE,C:\Windows\Explorer.EXE,{B59E2A9A-4EF6-6211-6B01-000000001202},C:\Windows\explorer.exe,explorer.exe,5092,Microsoft Corporation,Notepad,10.0.14393.4169 (rs1_release.210107-1130),968239be2020f1c0daffdcdbd49e9c82,NOTEPAD.EXE,Microsoft® Windows® Operating System,6992,,C:\Users\brent.socium\,"technique_id=T1204,technique_name=User Execution",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6082d1
2022-02-19T21:03:50.000+0000,Process Create (rule: ProcessCreate),process,1,2022-02-19T21:03:49.982Z,Microsoft-Windows-Sysmon,127.0.0.1:8088,x86_64,rdp01,rdp01.magnumtempus.financial,sysmon,"C:\Windows\system32\NOTEPAD.EXE
C:\Users\brent.socium\computers.txt","""C:\Windows\system32\NOTEPAD.EXE"" C:\Users\brent.socium\computers.txt",{B59E2A9A-5B34-6211-7A06-000000001202},C:\Windows\System32\notepad.exe,ba78fcf8ca9d806c6c047357e31748de,19c72327accc2c12fcbce3d0caa8f7a7e5bcd676,34a07759492e31aec2a009505fe8dfb50242375c4308ad4657b2872f4f75a077,notepad.exe,C:\Windows\Explorer.EXE,C:\Windows\Explorer.EXE,{B59E2A9A-4EF6-6211-6B01-000000001202},C:\Windows\explorer.exe,explorer.exe,5092,Microsoft Corporation,Notepad,10.0.14393.4169 (rs1_release.210107-1130),968239be2020f1c0daffdcdbd49e9c82,NOTEPAD.EXE,Microsoft® Windows® Operating System,8716,,C:\Users\brent.socium\,"technique_id=T1204,technique_name=User Execution",MAGNUMTEMPUS,S-1-5-18,pat.risus,0x6082d1
